k, NA;
ostectomies, p;
ostectomy, N;
osteectomies, p;
osteectomy, N;
osteichthyes, |N;
osteitic, A;
osteitis, N;
osteitis deformans, h;
ostensible, A;
ostensibly, v;
ostensive, A;
ostensive definition, |h;
ostensively, v;
ostensories, p;
ostensorium, N;
ostensorsoria, p;
ostensory, N;
ostentation, N;
ostentatious, |A;
ostentatiously, v;
ostentatiousness, N;
osteoarthritis, NA;
osteoblast, N;
osteoblastic, A;
osteoclasis, N;
osteoclast, N;
osteogenesis, N;
osteogenetic, A;
osteogenic sarcoma, |h;
osteoid, A;
osteologer, N;
osteologic, A;
osteological, A;
osteologically, v;
osteologist, N;
osteology, N;
osteolysis, |N;
osteoma, N;
osteomalacia, N;
osteomas, p;
osteomata, p;
osteometric, A;
osteometrical, A;
osteomyelitis, N;
osteopath, N;
osteopathic, A;
osteopathically, v;
osteopathist, |N;
osteopathy, N;
osteopetrosis, |N;
osteophyte, N;
osteophytic, A;
osteoplastic, A;
osteoplasty, N;
osteoporosis, N;
osteosarcoma, |N;
osteostracan, |N;
osteostraci, |N;
osteotome, N;
osteotomies, p;
osteotomist, N;
osteotomy, N;
ostiaries, p;
ostiary, N;
ostinato, N;
ostiolar, A;
ostiole, N;
ostium, N;
ostler, N;
ostmark, N;
ostosis, N;
ostraciidae, |N;
ostracise, NV;
ostracism, N;
ostracizable, A;
ostracization, N;
ostracize, tV;
ostracizer, N;
ostracod, N;
ostracoda, |N;
ostracodan, A;
ostracoderm, N;
ostracodermi, |N;
ostracodous, A;
ostracon, N;
ostrca, p;
ostrea, |N;
ostrea gigas, |h;
ostreidae, |N;
ostrich, N;
ostrich fern, h;
ostrichlike, A;
ostringer, N;
ostrogoth, |N;
ostrya, |N;
ostrya carpinifolia, |h;
ostrya virginiana, |h;
ostryopsis, |N;
ostyak, |N;
ostyak-samoyed, |N;
oswego tea, |h;
ot, N;
otalgia, N;
otalgic, A;
otaria, |N;
otaria byronia, |h;
otariidae, |N;
otc marker, |h;
otc security, |h;
otc stock, |h;
other, DrvA;
other half, h;
other than, |A;
other world, h;
other-directed, A;
othergates, vA;
otherguess, A;
otherness, N;
otherwhere, v;
otherwhile, v;
otherwise, CvAr;
otherworldliness, |N;
otherworldly, A;
othonna, |N;
otic, A;
otic ganglion, |h;
otic vesicle, h;
otides, |N;
otididae, |N;
otiose, A;
otis, |N;
otis tarda, |h;
otitis, N;
otitis externa, h;
otitis interna, h;
otitis media, h;
otium cum dignitate, h;
oto, |N;
otocyst, N;
otocystic, A;
otoe, |N;
otoganglion, |N;
otohemineurasthenia, N;
otolaryngological, A;
otolaryngologist, N;
otolaryngology, N;
otolith, N;
otological, A;
otologist, N;
otology, N;
otoneurasthenia, N;
otoplastic, A;
otoplasty, N;
otorhinolaryngologist, |N;
otorhinolaryngology, N;
otosclerosis, N;
otoscope, N;
otoscopic, A;
otoscopy, N;
ottar, N;
ottava, N;
ottava rima, h;
ottawa, |N;
otter, N;
otter gear, h;
otter hound, h;
otter shrew, h;
otterhound, |N;
otters, p;
otto, N;
ottoman, N;
ottrelite, N;
otus, |N;
otus asio, |h;
otus scops, |h;
otus sunia, |h;
ouabain, N;
ouachita, |N;
ouachita river, |h;
ouananiche, N;
oubliette, N;
ouch, !N;
oud, N;
oufought, t;
ougamy, N;
ougenetic, A;
ought, VNv;
oughtlins, v;
oughtn't, N;
ouguiya, |N;
oui, vN;
ouija, |N;
ouija board, |h;
oukinetic, A;
oulitic, A;
oulogical, A;
ounce, N;
ouphe, N;
ouphoric, A;
ouphytic, A;
our, D;
our lady's bedstraw, |h;
our lady's mild thistle, |h;
our lord's candle, |h;
our'n, r;
ouranopithecus, |N;
ouranos, |N;
ourari, N;
ours, r;
ourself, r;
ourselves, r;
ousel, N;
ousporic, A;
oust, tV;
ouster, N;
ousting, |N;
out, vP!NtiVA;
out and away, v;
out front, |v;
out in, |V;
out loud, |v;
out of action, |A;
out of bounds, v;
out of breath, |A;
out of commission, |A;
out of condition, |A;
out of danger, |A;
out of date, Av;
out of doors, hv;
out of fashion, |A;
out of focus, |A;
out of gear, |A;
out of hand, |v;
out of nothing, |v;
out of order, |A;
out of place, |A;
out of play, |A;
out of pocket, h;
out of practice, |A;
out of print, hA;
out of reach, |A;
out of service, |A;
out of sight, |Av;
out of stock, |A;
out of the blue, |Av;
out of the question, |A;
out of the way, h;
out of thin air, |v;
out of true, |A;
out of use, |A;
out of view, |v;
out of wedlock, |v;
out of work, |A;
out of-bounds, |h;
out or keeping, |A;
out sister, h;
out to, |A;
out tray, h;
out-Herod, t;
out-and-out, A;
out-and-outer, N;
out-basket, |N;
out-country, N;
out-group, N;
out-herod, |V;
out-migration, |N;
out-of-bounds, |A;
out-of-court settlement, |h;
out-of-date, |A;
out-of-dateness, N;
out-of-door, A;
out-of-doors, vN;
out-of-pocket, A;
out-of-print, AN;
out-of-school, |A;
out-of-the-way, A;
out-of-town, |A;
out-relief, N;
out-tray, |N;
outact, t;
outage, N;
outambush, t;
outargue, t;
outargued, t;
outarguing, t;
outasight, A!;
outawe, t;
outawed, t;
outawing, t;
outbabble, t;
outbabbled, t;
outbabbling, t;
outback, NA;
outbake, t;
outbaked, t;
outbaking, t;
outbalance, tV;
outbalanced, t;
outbalancing, t;
outban, t;
outbanned, t;
outbanning, t;
outbanter, t;
outbar, t;
outbargain, t;
outbark, t;
outbarred, t;
outbarring, t;
outbarter, t;
outbat, t;
outbatted, t;
outbatter, t;
outbatting, t;
outbawl, t;
outbbled, t;
outbbred, t;
outbeam, t;
outbeg, t;
outbegged, t;
outbegging, t;
outbelch, t;
outbellow, t;
outbend, t;
outbending, t;
outbent, t;
outbetter, t;
outbid, V;
outbidden, t;
outbidder, N;
outbidding, t;
outblaze, t;
outblazed, t;
outblazing, t;
outbleat, t;
outbleed, t;
outbleeding, t;
outbless, t;
outblew, t;
outbloom, t;
outblossom, t;
outblot, t;
outblotted, t;
outblotting, t;
outblow, t;
outblowing, t;
outblown, t;
outbluff, t;
outblunder, t;
outblush, t;
outbluster, t;
outboard, AvN;
outboard motor, h;
outboard profile, h;
outboast, t;
outbound, A;
outbow, t;
outbowl, t;
outbox, t;
outbrag, t;
outbragged, t;
outbragging, t;
outbranch, t;
outbrave, tV;
outbraved, t;
outbraving, t;
outbray, t;
outbrazen, t;
outbreak, N;
outbreathe, t;
outbreathed, t;
outbreathing, t;
outbred, |A;
outbreed, V;
outbreeding, t;
outbribe, t;
outbribed, t;
outbribing, t;
outbridge, t;
outbridged, t;
outbridging, t;
outbring, t;
outbringing, t;
outbrought, t;
outbud, t;
outbudded, t;
outbudding, t;
outbuild, t;
outbuilding, N;
outbuilt, t;
outbulge, V;
outbulged, V;
outbulging, V;
outbulk, t;
outbullied, t;
outbully, t;
outbullying, t;
outburn, t;
outburned, t;
outburst, N;
outbustle, t;
outbustled, t;
outbustling, t;
outbuzz, t;
outcall, |V;
outcant, t;
outcaper, t;
outcarol, t;
outcaroled, t;
outcaroling, t;
outcast, NA;
outcaste, NtA;
outcavil, t;
outcaviled, t;
outcaviling, t;
outcharm, t;
outchase, t;
outchased, t;
outchasing, t;
outchatter, t;
outcheat, t;
outchide, t;
outchided, t;
outcities, p;
outcity, N;
outclamor, t;
outclass, tV;
outclassed, |A;
outclerk, N;
outcome, N;
outcompass, t;
outcompliment, t;
outcourt, t;
outcrawl, t;
outcreep, t;
outcreeping, t;
outcrept, t;
outcricket, t;
outcrop, NiV;
outcropped, V;
outcropping, VN;
outcross, VN;
outcrossing, Nt;
outcrow, t;
outcrowd, t;
outcry, NtV;
outcull, t;
outcure, t;
outcured, t;
outcuring, t;
outcurse, t;
outcursed, t;
outcursing, t;
outcurve, N;
outcut, t;
outcutting, t;
outdance, t;
outdanced, t;
outdancing, t;
outdare, t;
outdared, t;
outdaring, t;
outdate, t;
outdated, A;
outdating, t;
outdazzle, t;
outdazzled, t;
outdazzling, t;
outdespatch, t;
outdevil, t;
outdeviled, t;
outdeviling, t;
outdid, t;
outdispatch, t;
outdistance, tV;
outdistanced, t;
outdistancing, t;
outdistrict, N;
outdo, V;
outdodge, t;
outdodged, t;
outdodging, t;
outdoing, t;
outdone, |A;
outdoor, A;
outdoor game, |h;
outdoor man, |h;
outdoor sport, |h;
outdoor stage, |h;
outdoors, vN;
outdoorsy, A;
outdrank, t;
outdraw, tV;
outdrawing, t;
outdrawn, t;
outdress, t;
outdrew, t;
outdrink, t;
outdrive, t;
outdriven, t;
outdriving, t;
outdrove, t;
outdwell, t;
outdweller, N;
outdwelling, N;
outdwelt, t;
outeat, t;
outeate, t;
outeaten, t;
outeating, t;
outecho, t;
outechoed, t;
outechoing, t;
outedge, t;
outedged, t;
outedging, t;
outequivocate, t;
outequivocated, t;
outequivocating, t;
outer, AN;
outer automorphism, h;
outer bar, h;
outer boundary, |h;
outer ear, h;
outer garment, |h;
outer garments, p;
outer hebrides, |h;
outer jib, h;
outer mongolia, |h;
outer planet, h;
outer product, h;
outer space, h;
outercourse, |N;
outermost, A;
outerness, N;
outerwear, N;
outeyed, A;
outfable, t;
outfabled, t;
outfabling, t;
outface, tV;
outfaced, t;
outfacing, t;
outfall, N;
outfame, t;
outfamed, t;
outfaming, t;
outfast, t;
outfawn, t;
outfeast, t;
outfeed, t;
outfeeding, t;
outfence, t;
outfenced, t;
outfencing, t;
outferret, t;
outffed, t;
outfield, N;
outfielder, N;
outfight, tV;
outfighting, N;
outfigure, t;
outfigured, t;
outfiguring, t;
outfish, t;
outfit, NV;
outfit car, h;
outfitted, VA;
outfitter, N;
outfitting, VN;
outflame, t;
outflamed, t;
outflaming, t;
outflank, tV;
outflanker, N;
outflare, t;
outflared, t;
outflaring, t;
outflash, t;
outflatter, t;
outfled, t;
outflee, t;
outfleeing, t;
outflew, t;
outfling, t;
outflinging, t;
outfloat, t;
outflourish, t;
outflow, N;
outflowing, |A;
outflown, t;
outflung, t;
outflux, N;
outfly, t;
outflying, t;
outfool, t;
outfoot, t;
outfox, tV;
outfroth, t;
outfrown, t;
outgabble, t;
outgabbled, t;
outgabbling, t;
outgain, t;
outgallop, t;
outgamble, t;
outgambled, t;
outgambling, t;
outgame, t;
outgamed, t;
outgaming, t;
outgas, V;
outgaze, t;
outgazed, t;
outgazing, t;
outgeneral, V;
outglare, t;
outglared, t;
outglaring, t;
outgleam, t;
outglitter, t;
outgloom, t;
outglow, t;
outgnaw, t;
outgnawed, t;
outgo, tNV;
outgoer, |N;
outgoing, AN;
outgoings, p;
outgone, i;
outgreen, t;
outgrew, V;
outgrin, t;
outgrinned, t;
outgrinning, t;
outgroup, N;
outgrow, V;
outgrowing, V;
outgrown, V;
outgrowth, N;
outguard, N;
outguess, tV;
outgun, t;
outgunned, t;
outgunning, t;
outgush, t;
outhammer, t;
outhasten, t;
outhaul, N;
outhear, t;
outheard, t;
outhearing, t;
outhire, t;
outhired, t;
outhiring, t;
outhiss, t;
outhit, t;
outhitting, t;
outhorror, t;
outhouse, N;
outhouses, p;
outhowl, t;
outhumor, t;
outhunt, t;
outhurl, t;
outhyperbolize, t;
outhyperbolized, t;
outhyperbolizing, t;
outing, N;
outinvent, t;
outissue, t;
outissued, t;
outissuing, t;
outjest, t;
outjet, t;
outjetted, t;
outjetting, t;
outjinx, t;
outjockey, t;
outjourney, t;
outjourneyed, t;
outjourneying, t;
outjuggle, t;
outjuggled, t;
outjuggling, t;
outjump, t;
outjut, t;
outjutted, t;
outjutting, t;
outkick, t;
outkill, t;
outking, t;
outkiss, t;
outkitchen, N;
outlabor, t;
outlaid, V;
outlance, t;
outlanced, t;
outlancing, t;
outland, AN;
outlander, N;
outlandish, A;
outlandishly, v;
outlandishness, N;
outlash, t;
outlast, tV;
outlaugh, t;
outlaunch, t;
outlaw, NtVA;
outlaw strike, h;
outlawed, |A;
outlawries, p;
outlawry, N;
outlay, Nt;
outlaying, V;
outlead, t;
outleading, t;
outleap, V;
outlearn, t;
outlengthen, t;
outlet, N;
outlet box, h;
outlier, N;
outlighten, t;
outlimn, t;
outline, NtV;
outlined, VA;
outlinger, t;
outlining, V;
outlip, t;
outlipped, t;
outlipping, t;
outlive, tV;
outlived, t;
outliver, N;
outliving, t;
outlled, t;
outlook, N;
outlove, t;
outloved, t;
outloving, t;
outluster, t;
outlying, A;
outmalaprop, t;
outmalapropped, t;
outmalapropping, t;
outman, V;
outmaneuver, |V;
outmaneuvre, |V;
outmanned, t;
outmanning, t;
outmanoeuvre, t;
outmarch, tV;
outmarried, t;
outmarry, t;
outmarrying, t;
outmaster, t;
outmatch, tV;
outmate, t;
outmated, t;
outmating, t;
outmeasure, t;
outmeasured, t;
outmeasuring, t;
outmerchant, N;
outmode, tiV;
outmoded, A;
outmoding, V;
outmost, A;
outmount, t;
outmouth, t;
outmove, t;
outmoved, t;
outmoving, t;
outness, N;
outnumber, tV;
outoffice, N;
outpace, tV;
outpaced, t;
outpacing, t;
outpaint, t;
outparish, N;
outpass, t;
outpath, N;
outpatient, N;
outpeep, t;
outpeople, t;
outpeopled, t;
outpeopling, t;
outperform, t;
outpick, t;
outpipe, t;
outpiped, t;
outpiping, t;
outpitch, t;
outpitied, t;
outpity, t;
outpitying, t;
outplan, t;
outplanned, t;
outplanning, t;
outplay, tV;
outplease, t;
outpleased, t;
outpleasing, t;
outplod, t;
outplodded, t;
outplodding, t;
outplot, t;
outplotted, t;
outplotting, t;
outpoint, tV;
outpoison, t;
outpoll, t;
outpop, t;
outpopped, t;
outpopping, t;
outpopulate, t;
outpopulated, t;
outpopulating, t;
outport, N;
outporter, N;
outpost, N;
outpour, NV;
outpouring, N;
outpractice, t;
outpracticed, t;
outpracticing, t;
outpraise, t;
outpraised, t;
outpraising, t;
outpray, t;
outprayed, t;
outpraying, t;
outpreen, t;
outprice, t;
outpriced, t;
outpricing, t;
outpried, t;
outproduce, t;
outproduced, t;
outproducing, t;
outpromise, t;
outpromised, t;
outpromising, t;
outpry, t;
outprying, t;
outpull, t;
outpupil, N;
outpurl, t;
outpursue, t;
outpursued, t;
outpursuing, t;
outpush, t;
output, NV;
output contract, |h;
output file, |h;
output program, |h;
output routine, |h;
output signal, |h;
output-to-input ratio, |h;
outquaff, t;
outquarters, N;
outqueried, t;
outquery, t;
outquerying, t;
outquestion, t;
outquibble, t;
outquibbled, t;
outquibbling, t;
outquote, t;
outquoted, t;
outquoting, t;
outr, A;
outra, A;
outrace, t;
outraced, t;
outracing, t;
outrage, NtV;
outraged, VA;
outrageous, A;
outrageously, v;
outrageousness, N;
outraging, V;
outrail, t;
outran, V;
outrance, N;
outrang, V;
outrange, tV;
outranged, t;
outranging, t;
outrank, tV;
outrant, t;
outrap, t;
outrapped, t;
outrapping, t;
outrate, t;
outrated, t;
outrating, t;
outrave, t;
outraved, t;
outraving, t;
outre, |A;
outreach, VtN;
outread, t;
outreading, t;
outreason, t;
outreckon, t;
outredden, t;
outreign, t;
outremer, AN;
outrhyme, t;
outrhymed, t;
outrhyming, t;
outrib, t;
outribbed, t;
outribbing, t;
outrick, t;
outridden, V;
outride, VN;
outrider, N;
outriding, V;
outrig, t;
outrigged, tA;
outrigger, N;
outrigger canoe, |h;
outrigging, t;
outright, Av;
outrightness, N;
outring, ti;
outringing, V;
outrival, tV;
outrivaled, t;
outrivaling, t;
outroar, tV;
outrode, V;
outrogue, t;
outrogued, t;
outroguing, t;
outromance, t;
outromanced, t;
outromancing, t;
outroot, t;
outrove, t;
outroved, t;
outroving, t;
outrow, t;
outrun, V;
outrung, V;
outrunner, N;
outrush, N;
outsaid, t;
outsail, tV;
outsaint, t;
outsallied, t;
outsally, t;
outsallying, t;
outsang, V;
outsat, t;
outsatisfied, t;
outsatisfy, t;
outsatisfying, t;
outsavor, t;
outsaw, t;
outsay, t;
outsaying, t;
outscent, t;
outscold, t;
outscore, tV;
outscored, t;
outscoring, t;
outscorn, t;
outscream, t;
outsearch, t;
outsee, t;
outseeing, t;
outseek, t;
outseeking, t;
outseen, t;
outsell, V;
outselling, t;
outsentries, p;
outsentry, N;
outsert, N;
outset, N;
outshame, t;
outshamed, t;
outshaming, t;
outshape, t;
outshaped, t;
outshaping, t;
outshine, Vti;
outshining, V;
outshone, V;
outshoot, tN;
outshot, N;
outshoulder, t;
outshout, tAvPV;
outshove, t;
outshoved, t;
outshoving, t;
outshow, t;
outshowed, t;
outshower, t;
outshown, t;
outshriek, t;
outshrill, t;
outside, PAvN;
outside broadcast, h;
outside clinch, |h;
outside door, |h;
outside loop, h;
outside marriage, |v;
outside mirror, |h;
outside work, h;
outside-group, |A;
outsider, N;
outsift, t;
outsigh, t;
outsin, t;
outsing, ti;
outsinging, V;
outsinned, t;
outsinning, t;
outsit, t;
outsitting, t;
outsize, AN;
outsized, |A;
outskill, t;
outskip, t;
outskipped, t;
outskipping, t;
outskirmish, t;
outskirt, N;
outskirts, pN;
outslander, t;
outslang, t;
outslid, t;
outslide, t;
outslink, t;
outsmart, tV;
outsmell, t;
outsmile, t;
outsmiled, t;
outsmiling, t;
outsnatch, t;
outsnore, t;
outsnored, t;
outsnoring, t;
outsoar, t;
outsold, t;
outsole, N;
outsonet, t;
outsophisticate, t;
outsophisticated, t;
outsophisticating, t;
outsought, t;
outsound, t;
outspan, NV;
outspanned, V;
outspanning, V;
outsparkle, t;
outsparkled, t;
outsparkling, t;
outspat, t;
outspeak, tV;
outspeaking, V;
outsped, t;
outspeed, t;
outspell, t;
outspied, t;
outspill, t;
outspin, t;
outspinned, t;
outspinning, t;
outspirit, t;
outspit, t;
outsplendor, t;
outspoke, V;
outspoken, A;
outspokenly, v;
outspokenness, N;
outsport, t;
outsprang, t;
outspread, VAN;
outspreading, V;
outspring, t;
outsprint, t;
outsprue, t;
outsprued, t;
outspruing, t;
outspurn, t;
outspurt, t;
outspy, t;
outspying, t;
outstagger, t;
outstand, Vit;
outstanding, A;
outstandingly, |v;
outstank, t;
outstare, t;
outstared, t;
outstaring, t;
outstartle, t;
outstartled, t;
outstartling, t;
outstate, t;
outstated, t;
outstating, t;
outstation, Nv;
outstature, t;
outstatured, t;
outstaturing, t;
outstay, tV;
outsteal, t;
outstealing, t;
outsteam, t;
outstep, t;
outstepped, t;
outstepping, t;
outsting, t;
outstinging, t;
outstink, t;
outstole, t;
outstolen, t;
outstood, V;
outstorm, t;
outstrain, t;
outstream, t;
outstretch, t;
outstretched, |A;
outstretcher, N;
outstridden, t;
outstride, t;
outstriding, t;
outstrike, t;
outstrip, V;
outstripped, t;
outstripping, t;
outstrive, t;
outstriven, t;
outstriving, t;
outstrode, t;
outstroke, |N;
outstrove, t;
outstruck, t;
outstrut, t;
outstrutted, t;
outstrutting, t;
outstudied, t;
outstudy, t;
outstudying, t;
outstung, t;
outstunt, t;
outsuck, t;
outsuffer, t;
outsulk, t;
outsum, t;
outsummed, t;
outsumming, t;
outsung, V;
outswagger, t;
outswam, V;
outswarm, t;
outswear, t;
outsweep, t;
outsweeten, t;
outswim, V;
outswimming, V;
outswindle, t;
outswindled, t;
outswindling, t;
outswing, N;
outswinger, N;
outswinging, t;
outswirl, t;
outswum, V;
outswung, t;
outtake, |N;
outtalk, t;
outtear, t;
outtearing, t;
outtease, t;
outteased, t;
outteasing, t;
outtell, t;
outtelling, t;
outthieve, t;
outthieved, t;
outthieving, t;
outthink, V;
outthinking, t;
outthought, t;
outthreaten, t;
outthrew, t;
outthrob, t;
outthrobbed, t;
outthrobbing, t;
outthrow, tiAN;
outthrowing, t;
outthrown, t;
outthrust, |N;
outthunder, t;
outthwack, t;
outtinkle, t;
outtinkled, t;
outtinkling, t;
outtire, t;
outtired, t;
outtiring, t;
outtoil, t;
outtold, t;
outtongue, t;
outtongued, t;
outtonguing, t;
outtower, t;
outtrade, V;
outtraded, V;
outtrading, V;
outtravel, t;
outtraveled, t;
outtraveling, t;
outtrick, t;
outtrot, t;
outtrotted, t;
outtrotting, t;
outtrump, t;
outttore, t;
outttorn, t;
outturn, N;
outtyrannize, t;
outtyrannized, t;
outtyrannizing, t;
outvalue, t;
outvalued, t;
outvaluing, t;
outvanish, t;
outvaunt, t;
outvelvet, t;
outvenom, t;
outvictor, t;
outvie, tV;
outvied, t;
outvigil, t;
outvociferate, t;
outvociferated, t;
outvociferating, t;
outvoice, t;
outvoiced, t;
outvoicing, t;
outvote, tV;
outvoted, t;
outvoting, t;
outvoyage, t;
outvoyaged, t;
outvoyaging, t;
outvying, t;
outwait, t;
outwalk, t;
outwallop, t;
outwander, t;
outwar, t;
outwarble, t;
