s, N;
tonguing-and-grooving plane, h;
tonic, NA;
tonic accent, h;
tonic epilepsy, |h;
tonic sol-fa, h;
tonic solfa, |h;
tonic spasm, h;
tonic water, |h;
tonically, v;
tonicity, N;
tonier, A;
toniest, A;
tonight, Nv;
toning, V;
tonish, A;
tonishly, v;
tonishness, N;
tonite, N;
tonk, N;
tonka bean, h;
tonka bean camphor, h;
tonka bean tree, |h;
tonlet, N;
tonn, N;
tonnage, N;
tonnage duty, |h;
tonnage length, h;
tonnage opening, h;
tonnage well, h;
tonne, N;
tonneau, N;
tonneaus, p;
tonneaux, p;
tonnish, A;
tonnishly, v;
tonnishness, N;
tonometer, N;
tons, |N;
tonsil, N;
tonsilar, A;
tonsillar, A;
tonsillary, A;
tonsillectome, N;
tonsillectomies, p;
tonsillectomy, N;
tonsillitic, A;
tonsillitis, N;
tonsillotomies, p;
tonsillotomy, N;
tonsorial, A;
tonsure, NtV;
tonsured, |A;
tontine, N;
tontine insurance, |h;
tonus, N;
tony, A;
too, v;
too bad, |A;
too big for one's breeches, |A;
too large, |A;
too little, |A;
too much, |Av;
too soon, |v;
too-careful, |A;
too-generous, |A;
too-greedy, |A;
too-too, Av;
toodle-oo, !;
took, V;
tool, NVt;
tool around, |V;
tool bag, |h;
tool cabinet, |h;
tool case, |h;
tool chest, |h;
tool engineer, h;
tool engineering, h;
tool kit, |h;
tool post, h;
tool steel, h;
tool subject, h;
tool-and-die work, |h;
tool-maker, N;
toolbox, N;
tooler, N;
toolholder, N;
tooling, N;
toolless, A;
toolmaker, N;
toolmaking, N;
toolroom, N;
toolshed, N;
toom, NAt;
toon, N;
toona, |N;
toona calantas, |h;
tooshie, |N;
toot, VN;
tooter, N;
tooth, NVti;
tooth and nail, hv;
tooth ax, h;
tooth chisel, h;
tooth decay, |h;
tooth doctor, |h;
tooth enamel, |h;
tooth fungus, |h;
tooth powder, h;
tooth rash, h;
tooth root, |h;
tooth shell, h;
tooth socket, |h;
toothache, N;
toothache tree, h;
toothbrush, N;
toothed, A;
toothed spurge, |h;
toothed sword fern, |h;
toothed whale, h;
toothed wheel, |h;
toothier, A;
toothiest, A;
toothless, A;
toothlessly, v;
toothlessness, N;
toothlike, A;
toothpaste, N;
toothpick, N;
toothpowder, |N;
toothsome, A;
toothsomely, v;
toothsomeness, N;
toothwort, N;
toothy, A;
tootle, VNi;
toots, N;
tootsies, p;
tootsy, N;
tootsy-wootsies, p;
tootsy-wootsy, N;
toowomba canary grass, |h;
top, NVA;
top banana, h;
top billing, |h;
top boot, h;
top cinder, h;
top dog, h;
top drawer, h;
top dresser, h;
top dressing, h;
top executive, |h;
top grafting, h;
top hat, h;
top of house, h;
top of the inning, |h;
top of the line, |h;
top off, tV;
top onion, |h;
top out, V;
top quark, |h;
top round, h;
top sergeant, h;
top side, |h;
top slice, h;
top slicing, h;
top timber, h;
top up, t;
top yeast, h;
top-dog, A;
top-down, |A;
top-drawer, A;
top-dress, t;
top-flight, A;
top-grade, |A;
top-hat, A;
top-heavily, v;
top-heaviness, N;
top-heavy, A;
top-hole, !A;
top-level, NA;
top-quality, |A;
top-ranking, |A;
top-secret, A;
top-shell, N;
toparch, N;
topaz, N;
topaz quartz, h;
topazine, A;
topazolite, N;
topcastle, N;
topcoat, N;
topdress, |V;
tope, VN;
toped, V;
topee, N;
topeka, |N;
toper, N;
toper's-plant, N;
topflight, A;
topflighter, N;
topfull, A;
topgallant, N;
topgallant mast, h;
topgallant sail, h;
toph, N;
tophaceous, A;
tophamper, N;
tophphi, p;
tophus, N;
topi, N;
topiaries, p;
topiary, AN;
topic, N;
topic sentence, h;
topical, A;
topical anaesthesia, |h;
topical anaesthetic, |h;
topical anesthesia, |h;
topical anesthetic, |h;
topicalities, p;
topicality, N;
topically, v;
toping, V;
topis, p;
topknot, N;
topknotted, |A;
topless, A;
toplessness, N;
topline, A;
topliner, N;
toploftily, v;
toploftiness, N;
toplofty, A;
topman, N;
topmast, N;
topminnow, N;
topmost, A;
topnotch, A;
topog, N;
topognosia, |N;
topognosis, |N;
topographer, N;
topographic, A;
topographic point, |h;
topographical, A;
topographically, v;
topography, N;
topolatry, |N;
topologic, A;
topological, A;
topological equivalence, h;
topological group, h;
topological invariant, h;
topological space, h;
topologically, v;
topologist, N;
topology, N;
toponym, N;
toponymic, A;
toponymical, A;
toponymy, N;
topos, N;
topotype, N;
topotypic, A;
topotypical, A;
topped, VA;
topper, N;
topping, NA;
topping lift, h;
toppingly, |v;
topple, Vi;
toppled, V;
toppling, VA;
toprail, N;
tops, NA;
topsail, N;
topside, N;
topsmelt, N;
topsmelts, p;
topsoil, Nt;
topspin, N;
topsy-turvily, v;
topsy-turvy, AvN;
topsy-turvydom, N;
topsy-turvyness, |N;
topsyturviness, N;
topv, |N;
toque, N;
tor, N;
toradol, |N;
torah, |N;
toran, N;
torbanite, N;
torbernite, N;
torc, N;
torch, NV;
torch race, |h;
torch singer, h;
torch song, h;
torchare, N;
torchbearer, N;
torchier, N;
torchiest, A;
torchless, A;
torchlight, |N;
torchlike, A;
torchon lace, h;
torchwood, N;
torchwood family, |h;
torchy, A;
tore, VN;
toreador, N;
toreador pant, |h;
toreador pants, p;
torero, N;
toreros, p;
toreutic, A;
toreutics, N;
tori, N;
toric, A;
toric lens, h;
torii, N;
toringo crab apple, h;
torino, |N;
torment, VtN;
tormented, |A;
tormenter, |N;
tormentil, N;
tormentor, N;
torn, VA;
tornadic, A;
tornado, N;
tornado belt, h;
tornado cellar, |h;
tornado cloud, h;
tornado lantern, h;
tornadoes, p;
tornadolike, A;
tornados, p;
tornaria, N;
tornariae, p;
tornarias, p;
tornillo, N;
tornillos, p;
toro, N;
toro bravo, h;
torodal, |N;
toroid, N;
toroidal, |A;
toroidally, v;
toronto, |N;
toros, p;
torose, A;
torpedinidae, |N;
torpediniformes, |N;
torpedo, NtV;
torpedo boat, h;
torpedo body, h;
torpedo tube, h;
torpedo-boat destroyer, h;
torpedoes, p;
torpedoing, p;
torpedolike, A;
torpedoman, N;
torpedomen, p;
torpid, A;
torpidity, |N;
torpidly, |v;
torpidness, |N;
torpor, N;
torporific, A;
torquate, A;
torque, N;
torque converter, h;
torque wrench, h;
torques, N;
torr, N;
torrefy, V;
torrent, NA;
torrential, A;
torrey pine, |h;
torrey tree, |h;
torrey's pine, |h;
torreya, |N;
torreya californica, |h;
torreya taxifolia, |h;
torricelli, |N;
torrid, A;
torrid zone, |h;
torridity, N;
torridly, v;
torridness, N;
torsade, N;
torse, N;
torsel, N;
torsi, N;
torsibility, N;
torsion, N;
torsion balance, h;
torsion bar, h;
torsion group, h;
torsion pendulum, h;
torsion-free group, h;
torsk, N;
torso, N;
torso murder, h;
torsos, p;
tort, N;
tort-feasor, N;
torte, N;
torteau, N;
torteaus, p;
tortellini, N;
torticollis, N;
tortile, A;
tortilla, N;
tortilla chip, |h;
tortillon, N;
tortious, A;
tortiously, v;
tortoise, N;
tortoise beetle, h;
tortoise plant, h;
tortoise-core, N;
tortoise-shell, A;
tortoise-shell turtle, h;
tortoiseshell, N;
tortoiseshell butterfly, |h;
tortoiseshell turtle, |h;
tortoiseshell-cat, |N;
tortoni, N;
tortricid, NA;
tortricid moth, |h;
tortricidae, |N;
tortrix, |N;
tortuosity, N;
tortuous, A;
tortuously, v;
tortuousness, N;
torture, tNV;
torture chamber, |h;
tortured, VA;
torturer, |N;
torturesome, |A;
torturing, VNA;
torturous, |A;
torturously, |v;
torulose, |A;
torus, N;
torus palatinus, h;
tory, |N;
toscana, |N;
tosh, N;
tosk, |N;
tosk dialect, |h;
toss, tiNV;
toss away, |V;
toss back, |V;
toss bombing, |h;
toss in, |V;
toss off, Vt;
toss out, |V;
toss-up, |N;
tossed salad, |h;
tossing, |A;
tosspot, N;
tossup, N;
tost, V;
tostada, |N;
tot, NV;
tot up, |V;
totable, A;
total, NAiV;
total aphasia, |h;
total bases, h;
total darkness, |h;
total depravity, h;
total differential, h;
total eclipse, h;
total heat, h;
total hysterectomy, |h;
total impulse, h;
total quantum number, h;
total recall, h;
total reflection, h;
total serialism, h;
totaled, |A;
totalisator, |N;
totaliser, |N;
totalism, |N;
totalistic, |A;
totalitarian, A;
totalitarianism, N;
totalitarianize, t;
totalitarianized, t;
totalitarianizing, t;
totalities, p;
totality, N;
totalization, N;
totalizator, |N;
totalize, V;
totalizer, N;
totalling, V;
totally, v;
totally ordered set, h;
totaquine, N;
totara, |N;
tote, tNV;
tote bag, h;
tote board, h;
tote box, h;
tote up, |V;
totem, N;
totem pole, h;
totemic, A;
totemically, v;
totemism, N;
totemist, N;
toter, N;
tother, Ar;
totidem verbis, h;
totient, N;
toting, N;
totipalmate, A;
totipalmation, N;
totipotent, A;
toto caelo, h;
totted, V;
totten trust, |h;
totter, iNV;
totterer, N;
tottering, A;
tottery, |A;
totting, V;
toucan, N;
toucanet, N;
touch, !NtiV;
touch and go, A;
touch base, |V;
touch down, |V;
touch football, h;
touch judge, h;
touch mark, h;
touch modality, |h;
touch needle, h;
touch off, tV;
touch on, |V;
touch paper, h;
touch perception, |h;
touch sensation, |h;
touch system, h;
touch typing, |h;
touch up, |V;
touch-and-go, A;
touch-in goal, h;
touch-in-goal, N;
touch-in-goal line, h;
touch-me-not, N;
touch-tackle, N;
touch-type, iV;
touch-typist, |N;
toucha, !;
touchable, A;
touchableness, N;
touchback, N;
touchdown, N;
touched, A;
toucher, N;
touchhole, N;
touchier, A;
touchiest, A;
touchily, v;
touchiness, N;
touching, APN;
touchingly, v;
touchingness, N;
touchline, N;
touchmark, N;
touchstone, N;
touchwood, N;
touchy, A;
tough, ANv;
tough cake, h;
tough guy, |h;
tough-minded, A;
toughen, V;
toughened, |A;
toughener, N;
toughie, N;
toughies, p;
toughish, A;
toughly, v;
toughness, N;
toughy, N;
toujours perdrix, h;
toupe, |N;
toupee, N;
toupeed, |A;
tour, NV;
tour de force, h;
tour of duty, |h;
touraco, N;
touracos, p;
tourbillion, N;
tourelle, N;
tourelles, p;
tourer, N;
touring, |NA;
touring car, h;
tourism, N;
tourist, NA;
tourist class, |h;
tourist court, h;
tourist home, h;
tourist trap, h;
touristed, |A;
touristic, A;
touristically, v;
touristry, N;
touristy, A;
tourmaline, N;
tourmalinic, A;
tournament, N;
tournedos, N;
tourney, NiV;
tourniquet, N;
tournois, A;
tous-les-mois, N;
touse, tiN;
toused, V;
tousing, V;
tousle, tNV;
tousled, VA;
tousling, V;
tout, vViN;
tout court, v;
tout de suite, h;
tout e fait, h;
tout ensemble, vh;
tout le monde, h;
touter, N;
touzle, VN;
touzled, t;
touzling, t;
tovarich, N;
tovarisch, N;
tow, tNV;
tow car, h;
tow truck, h;
tow-colored, A;
tow-haired, A;
tow-headed, A;
tow-headed snake, |h;
towable, A;
towage, N;
toward, AP;
toward land, |v;
toward the sea, |v;
towardliness, N;
towardly, A;
towardness, N;
towards, P;
towbar, N;
towboat, N;
towel, NtV;
towel bar, |h;
towel horse, |h;
towel rack, h;
towel rail, h;
towel ring, |h;
toweled, V;
toweling, VN;
towelled, V;
towelling, N;
tower, NiV;
tower block, |h;
tower bolt, h;
tower cress, |h;
tower mustard, |h;
tower of babel, |h;
tower of london, |h;
tower of silence, h;
tower-mill, N;
towered, A;
towering, A;
towerless, A;
towerlike, A;
towerman, N;
towermen, p;
towery, A;
towhead, N;
towheaded, |A;
towhee, N;
towing line, |h;
towing path, h;
towing rope, |h;
towkay, N;
towline, N;
towmond, N;
town, N;
town car, h;
town clerk, h;
town crier, h;
town gas, h;
town hall, h;
town house, h;
town meeting, h;
town planner, h;
town planning, h;
townee, N;
towner, N;
townhall clock, h;
townie, |N;
townish, A;
townless, A;
townscape, N;
townsendia, |N;
townsendia exscapa, |h;
townsfolk, pN;
township, N;
township line, h;
townsman, N;
townsmen, p;
townspeople, N;
townswoman, N;
townswomen, p;
townwear, N;
towny, |N;
towpath, N;
towpaths, p;
towrope, N;
towrope horsepower, h;
towser, N;
towy, A;
tox, N;
toxaemia, N;
toxalbumin, N;
toxaphene, N;
toxemia, N;
toxemia of pregnancy, |h;
toxemic, A;
toxic, A;
toxic industrial waste, |h;
toxic waste, |h;
toxic waste dump, |h;
toxic waste site, |h;
toxically, v;
toxicant, NA;
toxicities, p;
toxicity, N;
toxicodendron, |N;
toxicodendron diversilobum, |h;
toxicodendron quercifolium, |h;
toxicodendron radicans, |h;
toxicodendron vernicifluum, |h;
toxicodendron vernix, |h;
toxicogenic, A;
toxicol, N;
toxicologic, A;
toxicological, A;
toxicologically, v;
toxicologist, N;
toxicology, N;
toxicosis, N;
toxin, N;
toxin antitoxin, |h;
toxin-antitoxin, N;
toxiphobia, N;
toxoid, N;
toxophilite, NA;
toxophilitic, A;
toxophily, N;
toxoplasmosis, N;
toxostoma, |N;
toxostoma rufums, |h;
toxotes, |N;
toxotes jaculatrix, |h;
toxotidae, |N;
toy, NiV;
toy box, |h;
toy business, |h;
toy chest, |h;
toy dog, h;
toy industry, |h;
toy manchester, |h;
toy manchester terrier, |h;
toy poodle, |h;
toy soldier, |h;
toy spaniel, |h;
toy terrier, |h;
toy with, |V;
toyer, N;
toying, |N;
toyless, A;
toylike, A;
toyon, N;
toyshop, |N;
tp, N;
tpd, N;
tph, N;
tpi, N;
tpm, N;
tr, N;
tra-la, |N;
tra-la-la, |N;
trabeate, |A;
trabeated, A;
trabecula, N;
trabecular, A;
trabeculate, A;
tracasserie, N;
trace, NtV;
trace element, h;
trace program, |h;
traceability, N;
traceable, A;
traceableness, N;
traceably, N;
traced, VA;
traceless, A;
tracelessly, v;
tracer, N;
tracer bullet, h;
traceried, A;
traceries, p;
tracery, N;
trachea, N;
tracheae, p;
tracheal, NA;
tracheal vein, |h;
tracheation, N;
tracheid, N;
tracheidal, A;
tracheitis, N;
trachelium, N;
trachelospermum, |N;
trachelospermum jasminoides, |h;
tracheobronchial, N;
tracheophyta, |N;
tracheophyte, N;
tracheoscopic, A;
tracheoscopist, N;
tracheostomies, p;
tracheostomy, N;
tracheotomies, p;
tracheotomist, N;
tracheotomy, N;
trachinotus, |N;
trachinotus carolinus, |h;
trachinotus falcatus, |h;
trachipteridae, |N;
trachipterus, |N;
trachipterus arcticus, |h;
trachle, Nt;
trachled, V;
trachling, V;
trachodon, |N;
trachodont, |N;
trachoma, N;
trachurus, |N;
trachurus symmetricus, |h;
trachurus trachurus, |h;
trachybasalt, N;
trachycarpous, A;
trachyspermous, A;
trachyte, N;
trachytic, A;
trachytoid, A;
tracing, N;
tracing paper, h;
tracing routine, |h;
track, NVi;
track and field, |h;
track brake, h;
track down, tV;
track event, |h;
track meet, h;
track record, h;
track rod, h;
track shoe, h;
track star, |h;
track-and-field, A;
track-to-track seek time, |h;
trackable, A;
tracked, |A;
tracker, N;
tracking, |N;
tracking shot, h;
tracking station, h;
tracklayer, N;
tracklaying, A;
trackless, A;
trackless trolley, h;
tracklessly, v;
tracklessness, N;
trackman, N;
trackmen, p;
tracks, p;
tracksuit, N;
traclia, p;
tract, N;
tractability, |N;
tractable, A;
tractableness, |N;
tractarian, |N;
tractarianism, |N;
tractate, N;
tractile, A;
tractility, N;
traction, N;
traction engine, h;
tractive, |A;
tractive effort, h;
tractor, N;
tractor trailer, |h;
tractor-trailer, N;
tractrices, p;
tractrix, NtiA;
trad, NA;
trade, NtiVA;
trade acceptance, h;
trade association, h;
trade balance, h;
trade barrier, |h;
trade bill, |h;
trade book, h;
trade council, h;
trade cycle, h;
trade deficit, |h;
trade discount, h;
trade edition, |h;
trade embargo, |h;
trade expense, |h;
trade gap, h;
trade guild, h;
trade in, |V;
trade journal, h;
trade name, h;
trade on, i;
trade plate, h;
trade policy, |h;
trade protection, |h;
trade rat, |h;
trade reference, h;
trade route, h;
trade school, h;
trade secret, h;
trade stoppage, |h;
trade union, h;
trade union movement, |h;
trade unioniam, |h;
trade unionism, h;
trade unionist, h;
trade wind, h;
trade-in, NA;
trade-last, N;
trade-off, N;
trade-union, A;
trade-wind rig, h;
tradecraft, |N;
traded, |A;
trademark, Nt;
trademarked, |A;
trader, N;
tradership, N;
trades council, h;
trades union, |h;
tradescant's aster, |h;
tradescantia, N;
tradesfolk, p;
tradesman, N;
tradesmen, p;
tradespeople, p;
tradeswoman, N;
tradeswomen, p;
trading, |N;
trading card, |h;
trading estate, h;
trading operations, |h;
trading post, h;
trading stamp, h;
tradition, N;
traditional, A;
traditional knowledge, |h;
traditional logic, h;
traditionalism, NA;
traditionalist, NA;
traditionalistic, A;
traditionality, |N;
traditionally, |v;
traditionist, N;
traditionless, A;
traditive, A;
traditor, N;
traditores, p;
traduce, tV;
traduced, t;
traducement, N;
traducer, |N;
traducian, NA;
traducianism, NA;
traducianistic, A;
traducing, t;
trafalgar, |N;
traffic, NV;
traffic circle, h;
traffic control, |h;
traffic cop, h;
traffic court, h;
traffic island, h;
traffic jam, h;
traffic lane, |h;
traffic light, h;
traffic manager, h;
traffic pattern, h;
traffic signal, |h;
traffic warden, h;
trafficability, N;
trafficable, A;
trafficator, N;
trafficker, |N;
trafficless, A;
tragacanth, N;
tragedian, N;
tragedienne, N;
tragedy, N;
tragelaphus, |N;
tragelaphus angasi, |h;
tragelaphus buxtoni, |h;
tragelaphus eurycerus, |h;
tragelaphus imberbis, |h;
tragelaphus scriptus, |h;
tragelaphus strepsiceros, |h;
tragi, p;
tragia, p;
tragic, A;
tragic flaw, h;
tragic irony, h;
tragical, |A;
tragically, v;
tragicalness, N;
tragicomedy, N;
tragicomic, A;
tragicomical, A;
tragicomically, v;
tragion, N;
tragopan, N;
tragopogon, |N;
tragopogon dubius, |h;
tragopogon porrifolius, |h;
tragopogon pratensis, |h;
tragulidae, |N;
tragulus, |N;
tragulus javanicus, |h;
tragulus kanchil, |h;
tragus, N;
trail, VitN;
trail away, i;
trail boss, h;
trail herd, h;
trail riding, |h;
trail rope, h;
trailblazer, N;
trailblazing, A;
trailboard, N;
trailer, N;
trailer camp, h;
trailer car, h;
trailer park, |h;
trailer truck, h;
trailing, |NA;
trailing arbutus, h;
trailing edge, h;
trailing evergreen, h;
trailing four o'clock, |h;
trailing fuchsia, h;
trailing phlox, h;
trailing vortex drag, h;
trailing windmills, |h;
trailingly, v;
trailless, A;
train, tiNV;
train depot, |h;
train fare, |h;
train of thought, |h;
train oil, |h;
train sickness, h;
train spotter, h;
train station, |h;
train ticket, |h;
trainable, A;
trainband, N;
trainbearer, N;
trained, |A;
trained nurse, h;
trained worker, |h;
trainee, N;
traineeship, |N;
trainer, N;
training, N;
training aid, h;
training college, h;
training pants, h;
training program, |h;
training school, h;
training ship, h;
training wall, h;
trainless, A;
trainline, N;
trainload, |N;
trainman, N;
trainmaster, |N;
trainmen, p;
trainpipe, N;
trainshed, N;
trainsick, A;
traipse, iNV;
traipsed, V;
traipsing, V;
trait, N;
traitor, N;
traitorous, A;
traitorously, v;
traitorousness, N;
traitorship, N;
traitress, |N;
traject, t;
trajection, N;
trajectories, p;
trajectory, N;
tralatitious, |A;
tram, N;
tramcar, Nt;
tramless, A;
tramline, N;
trammed, V;
trammel, |NV;
trammel net, h;
trammeler, N;
trammeller, N;
trammels, |N;
trammie, N;
tramming, V;
tramontana, N;
tramontane, AN;
tramp, iNV;
tramp steamer, h;
tramp's spurge, |h;
tramping, |A;
trample, VN;
trampled, |A;
trampler, N;
trampling, |NA;
trampoline, Ni;
trampoliner, N;
trampolinist, N;
tramroad, N;
tramway, N;
trance, NtV;
tranced, V;
trancedly, v;
trancelike, A;
tranche, N;
trancing, V;
trangam, N;
trank, N;
trannie, N;
tranquil, A;
tranquility, |N;
tranquilization, N;
tranquilize, tiV;
tranquilized, ti;
tranquilizer, N;
tranquilizing, tiA;
tranquillity, |N;
tranquillize, V;
tranquillized, ti;
tranquillizer, N;
tranquillizing, ti;
tranquilly, v;
tranquilness, N;
trans, NA;
trans-Adriatic, A;
trans-African, A;
trans-Algerian, A;
trans-Alleghenian, A;
trans-American, A;
trans-Andean, A;
trans-Andine, A;
trans-Antarctic, A;
trans-Apennine, A;
trans-Arabian, A;
trans-Asiatic, A;
trans-Australian, A;
trans-Austrian, A;
trans-Balkan, A;
trans-Baltic, A;
trans-Canadian, A;
trans-Carpathian, A;
trans-Caspian, A;
trans-Congo, A;
trans-Cordilleran, A;
trans-Danubian, A;
trans-Egyptian, A;
trans-Euphrates, A;
trans-Germanic, A;
trans-Grampian, A;
trans-Himalayan, A;
trans-Hispanic, A;
trans-Iberian, A;
trans-Indian, A;
trans-Indus, A;
trans-Iranian, A;
trans-Iraq, A;
trans-Jovian, A;
trans-Liberian, A;
trans-Libyan, A;
trans-Manchurian, A;
trans-Martian, A;
trans-Mediterranean, A;
trans-Mississippi, A;
trans-Mississippian, AN;
trans-Mongolian, A;
trans-Neptunian, A;
trans-Niger, A;
trans-Panamanian, A;
trans-Paraguayian, A;
trans-Persian, A;
trans-Pyrenean, A;
trans-Rhenish, A;
trans-Sahara, A;
trans-Saharan, A;
trans-Saturnian, A;
trans-Severn, A;
trans-Siberian, A;
trans-Stygian, A;
trans-Tiber, A;
trans-Tiberian, A;
trans-Ural, A;
trans-Uralian, A;
trans-Volga, A;
trans-alaska ppipeline, |h;
transact, V;
transactinide, N;
transaction, N;
transaction file, |h;
transactional, A;
transactionally, v;
transactions, |N;
transactor, N;
transalpine, AN;
transaminase, |N;
transamination, |N;
transannular, A;
transaquatic, A;
transarctic, A;
transatlantic, A;
transatlantically, v;
transaudient, A;
transbay, A;
transborder, A;
transcalency, N;
transcalent, A;
transceiver, N;
transcend, Vt;
transcendence, N;
transcendency, |N;
transcendent, AN;
transcendental, A;
transcendental aesthetic, h;
transcendental analytic, h;
transcendental dialectic, h;
transcendental logic, h;
transcendental meditation, h;
transcendental number, |h;
transcendental philosophy, |h;
transcendentalisation, N;
transcendentalism, NA;
transcendentalist, NA;
transcendentalistic, A;
transcendentalization, N;
transcendentalize, t;
transcendentalized, t;
transcendentalizing, t;
transcendentally, v;
transcendingly, v;
transchange, t;
transchanged, t;
transchanger, N;
transchanging, t;
transchannel, A;
transcolor, A;
transcoloration, N;
transcolour, A;
transcolouration, N;
transcondylar, A;
transcondyloid, A;
transcontinental, A;
transcontinentally, v;
transcorporeal, A;
transcortical aphasia, |h;
transcribe, tV;
transcribed, tA;
transcriber, N;
transcribing, t;
transcript, N;
transcription, N;
transcriptional, A;
transcriptionally, v;
transcriptive, A;
transcriptively, v;
transcrystalline, A;
transcultural, A;
transculturally, v;
transculturation, N;
